lat,long,customer_id,trip_id,week_index,type,ride_count
40.778,-73.952,1,183962000000000.0,73,origin,15
40.734,-73.988,1,164685000000000.0,73,origin,23
40.778,-73.952,1,56347500000000.0,74,origin,15
40.78,-73.952,1,163589000000000.0,74,origin,24
40.752,-73.986,1,52575500000000.0,74,origin,5
40.752,-73.97,1,34136400000000.0,74,origin,7
40.752,-73.97,1,36506600000000.0,74,origin,7
40.754,-73.974,1,50551300000000.0,74,origin,2
40.758,-73.98,1,195865000000000.0,79,origin,7
40.758,-73.98,1,196949000000000.0,79,origin,7
40.758,-73.98,1,225619000000000.0,79,origin,7
40.758,-73.98,1,226325000000000.0,79,origin,7
40.758,-73.982,1,106104000000000.0,85,origin,5
40.732,-74.002,1,217934000000000.0,86,origin,6
40.776,-73.946,1,17314000000000.0,88,origin,2
40.774,-73.876,1,251557000000000.0,89,origin,4
40.78,-73.954,1,96849400000000.0,90,origin,23
40.818,-73.944,1,274006000000000.0,90,origin,2
40.818,-73.944,1,275721000000000.0,90,origin,2
40.79,-73.97,1,167421000000000.0,94,origin,10
40.78,-73.952,1,159258000000000.0,94,origin,24
40.78,-73.952,1,162562000000000.0,94,origin,24
40.78,-73.952,1,163696000000000.0,94,origin,24
40.778,-73.952,1,253627000000000.0,94,origin,15
40.736,-74.004,1,165926000000000.0,94,origin,6
40.758,-73.98,1,142687000000000.0,95,origin,7
40.742,-73.984,1,124426000000000.0,97,origin,16
40.742,-73.984,1,132117000000000.0,97,origin,16
40.742,-73.984,1,137563000000000.0,97,origin,16
40.778,-73.952,1,69401300000000.0,99,origin,15
40.78,-73.952,2,202907000000000.0,8,origin,24
40.72,-73.964,2,125893000000000.0,8,origin,1
40.78,-73.952,2,17594000000000.0,8,origin,24
40.738,-74.006,2,271095000000000.0,8,origin,4
40.738,-74.006,2,271548000000000.0,8,origin,4
40.78,-73.952,2,274899000000000.0,10,origin,24
40.714,-73.978,2,265014000000000.0,10,origin,1
40.796,-73.95,2,92041900000000.0,10,origin,7
40.796,-73.95,2,93252200000000.0,10,origin,7
40.78,-73.952,2,119514000000000.0,10,origin,24
40.78,-73.952,2,125263000000000.0,10,origin,24
40.78,-73.952,2,70695000000000.0,11,origin,24
40.78,-73.952,2,74401600000000.0,11,origin,24
40.78,-73.952,2,78057700000000.0,11,origin,24
40.78,-73.952,2,84058900000000.0,11,origin,24
40.78,-73.952,2,87664600000000.0,11,origin,24
40.78,-73.952,2,90917300000000.0,11,origin,24
